NOME_PROVINCIA,NOME_COMUNE,DECESSI_HIGH,DECESSI_LOW,AVG
Bergamo,Ponte San Pietro,160,160,160
Bergamo,Ponteranica,58,58,58
Bergamo,Pontida,34,34,34
Bergamo,Pontirolo Nuovo,10,0,10
Bergamo,Pradalunga,90,90,90
Bergamo,Predore,34,34,34
Bergamo,Premolo,3,0,3
Bergamo,Presezzo,40,40,40
Bergamo,Pumenengo,1,0,1
Bergamo,Ranica,52,52,52
Bergamo,Ranzanico,3,0,3
Bergamo,Riva di Solto,1,0,1
Bergamo,Rogno,7,0,7
Bergamo,Romano di Lombardia,188,188,188
Bergamo,Roncobello,3,0,3
Bergamo,Roncola,0,0,0
Bergamo,Rota d'Imagna,14,14,14
Bergamo,Rovetta,8,0,8
Bergamo,San Giovanni Bianco,94,94,94
Bergamo,San Paolo d'Argon,5,0,5
Bergamo,San Pellegrino Terme,96,96,96
Bergamo,Sant'Omobono Terme,7,0,7
Bergamo,Santa Brigida,16,16,16
Bergamo,Sarnico,74,74,74
Bergamo,Scanzorosciate,166,166,166
Bergamo,Schilpario,30,30,30
Bergamo,Sedrina,7,0,7
Bergamo,Selvino,38,38,38
Bergamo,Seriate,268,268,268
Bergamo,Serina,36,36,36
Bergamo,Solto Collina,3,0,3
Bergamo,Solza,6,0,6
Bergamo,Songavazzo,3,0,3
Bergamo,Sorisole,66,66,66
Bergamo,Sotto il Monte Giovanni XXIII,40,40,40
Bergamo,Sovere,86,86,86
Bergamo,Spinone al Lago,1,0,1
Bergamo,Spirano,6,0,6
Bergamo,Stezzano,132,132,132
Bergamo,Strozza,2,0,2
Bergamo,Suisio,24,24,24
Bergamo,Taleggio,1,0,1
Bergamo,Tavernola Bergamasca,30,30,30
Bergamo,Telgate,6,0,6
Bergamo,Terno d'Isola,32,32,32
Bergamo,Torre Boldone,18,7,18
Bergamo,Torre de' Busi,3,0,3
Bergamo,Torre de' Roveri,12,12,12
Bergamo,Torre Pallavicina,1,0,1
Bergamo,Trescore Balneario,88,88,88
Bergamo,Treviglio,254,254,254
Bergamo,Treviolo,11,3,11
Bergamo,Ubiale Clanezzo,0,0,0
Bergamo,Urgnano,17,4,17
Bergamo,Val Brembilla,44,44,44
Bergamo,Valbondione,26,26,26
Bergamo,Valbrembo,38,38,38
Bergamo,Valgoglio,2,0,2
Bergamo,Valleve,0,0,0
Bergamo,Valnegra,0,0,0
Bergamo,Valtorta,2,0,2
Bergamo,Verdellino,30,30,30
Bergamo,Verdello,66,66,66
Bergamo,Vertova,13,0,13
Bergamo,Viadanica,16,16,16
Bergamo,Vigano San Martino,2,0,2
Bergamo,Vigolo,2,0,2
Bergamo,Villa d'Adda,112,112,112
Bergamo,Villa d'Almè,14,0,14
Bergamo,Villa d'Ogna,26,26,26
Bergamo,Villa di Serio,86,86,86
Bergamo,Villongo,70,70,70
Bergamo,Vilminore di Scalve,18,18,18
Bergamo,Zandobbio,5,0,5
Bergamo,Zanica,70,70,70
Bergamo,Zogno,20,8,20
Brescia,Acquafredda,20,20,20
Brescia,Adro,12,0,12
Brescia,Agnosine,5,1,5
Brescia,Alfianello,18,18,18
Brescia,Anfo,1,0,1
Brescia,Angolo Terme,16,16,16
Brescia,Artogne,7,1,7
Brescia,Azzano Mella,5,0,5
Brescia,Bagnolo Mella,27,12,27
Brescia,Bagolino,50,50,50
Brescia,Barbariga,6,0,6
Brescia,Barghe,2,0,2
Brescia,Bassano Bresciano,3,0,3
Brescia,Bedizzole,66,66,66
Brescia,Berlingo,24,24,24
Brescia,Berzo Demo,14,14,14
Brescia,Berzo Inferiore,4,1,4
Brescia,Bienno,8,0,8
Brescia,Bione,10,10,10
Brescia,Borgo San Giacomo,50,50,50
Brescia,Borgosatollo,58,58,58
Brescia,Borno,16,16,16
Brescia,Botticino,86,86,86
Brescia,Bovegno,10,10,10
Brescia,Bovezzo,54,54,54
Brescia,Brandico,1,0,1
Brescia,Braone,1,0,1
Brescia,Breno,38,38,38
Brescia,Brescia,1190,1190,1190
Brescia,Brione,2,0,2
Brescia,Caino,1,0,1
Brescia,Calcinato,110,110,110
Brescia,Calvagese della Riviera,4,0,4
Brescia,Calvisano,16,0,16
Brescia,Capo di Ponte,10,10,10
Brescia,Capovalle,1,0,1
Brescia,Capriano del Colle,22,22,22
Brescia,Capriolo,15,7,15
Brescia,Carpenedolo,20,3,20
Brescia,Castegnato,56,56,56
Brescia,Castel Mella,30,30,30
Brescia,Castelcovati,44,44,44
Brescia,Castenedolo,50,50,50
Brescia,Casto,3,0,3
Brescia,Castrezzato,40,40,40
Brescia,Cazzago San Martino,86,86,86
Brescia,Cedegolo,4,0,4
Brescia,Cellatica,9,0,9
Brescia,Cerveno,1,0,1
Brescia,Ceto,2,0,2
Brescia,Cevo,2,0,2
Brescia,Chiari,35,13,35
Brescia,Cigole,3,0,3
Brescia,Cimbergo,1,0,1
Brescia,Cividate Camuno,14,14,14
Brescia,Coccaglio,86,86,86
Brescia,Collebeato,32,32,32
Brescia,Collio,10,10,10
Brescia,Cologne,58,58,58
Brescia,Comezzano-Cizzago,7,1,7
Brescia,Concesio,80,80,80
Brescia,Corte Franca,54,54,54
Brescia,Corteno Golgi,22,22,22
Brescia,Corzano,3,0,3
Brescia,Darfo Boario Terme,136,136,136
Brescia,Dello,30,30,30
Brescia,Desenzano del Garda,158,158,158
Brescia,Edolo,9,0,9
Brescia,Erbusco,12,5,12
Brescia,Esine,10,2,10
Brescia,Fiesse,5,0,5
Brescia,Flero,42,42,42
Brescia,Gambara,22,22,22
Brescia,Gardone Riviera,7,0,7
Brescia,Gardone Val Trompia,88,88,88
Brescia,Gargnano,8,8,8
Brescia,Gavardo,52,52,52
Brescia,Ghedi,30,14,30
Brescia,Gianico,22,22,22
Brescia,Gottolengo,62,62,62
Brescia,Gussago,94,94,94
Brescia,Idro,3,0,3
Brescia,Incudine,2,0,2
Brescia,Iseo,23,7,23
Brescia,Isorella,16,16,16
Brescia,Lavenone,0,0,0
Brescia,Leno,16,3,16
Brescia,Limone sul Garda,1,0,1
Brescia,Lodrino,8,8,8
Brescia,Lograto,36,36,36
Brescia,Lonato del Garda,90,90,90
Brescia,Longhena,1,0,1
Brescia,Losine,1,0,1
Brescia,Lozio,0,0,0
Brescia,Lumezzane,102,102,102
Brescia,Maclodio,2,0,2
Brescia,Magasa,1,0,1
Brescia,Mairano,18,18,18
Brescia,Malegno,14,14,14
Brescia,Malonno,30,30,30
Brescia,Manerba del Garda,24,24,24
Brescia,Manerbio,154,154,154
Brescia,Marcheno,22,22,22
Brescia,Marmentino,1,0,1
Brescia,Marone,24,24,24
