"","NOME_PROVINCIA","DATA","SESSO","DECESSI","POPOLAZIONE","DECESSI_P10k"
"86","Bergamo",2015-01-29,"MASCHI",18,548959,0,327893339939777
"87","Bergamo",2015-01-29,"TOTALE",30,1108772,0,270569603128506
"88","Bergamo",2015-01-30,"FEMMINE",16,559811,0,285810746841345
"89","Bergamo",2015-01-30,"MASCHI",16,548958,0,291461277547645
"90","Bergamo",2015-01-30,"TOTALE",32,1108769,0,288608357556894
"91","Bergamo",2015-01-31,"FEMMINE",15,559809,0,267948532445888
"92","Bergamo",2015-01-31,"MASCHI",14,548957,0,255029082423578
"93","Bergamo",2015-01-31,"TOTALE",29,1108766,0,261552031718144
"94","Bergamo",2015-02-01,"FEMMINE",17,559808,0,303675545901452
"95","Bergamo",2015-02-01,"MASCHI",19,548956,0,34611152806418
"96","Bergamo",2015-02-01,"TOTALE",36,1108764,0,324685866424235
"97","Bergamo",2015-02-02,"FEMMINE",17,559804,0,303677715771949
"98","Bergamo",2015-02-02,"MASCHI",24,548953,0,437195898373813
"99","Bergamo",2015-02-02,"TOTALE",41,1108757,0,369783460217162
"100","Bergamo",2015-02-03,"FEMMINE",22,559800,0,392997499106824
"101","Bergamo",2015-02-03,"MASCHI",19,548950,0,346115311048365
"102","Bergamo",2015-02-03,"TOTALE",41,1108750,0,36978579481398
"103","Bergamo",2015-02-04,"FEMMINE",20,559796,0,35727300659526
"104","Bergamo",2015-02-04,"MASCHI",12,548947,0,218600338466191
"105","Bergamo",2015-02-04,"TOTALE",32,1108744,0,288614865108627
"106","Bergamo",2015-02-05,"FEMMINE",17,559792,0,303684225569497
"107","Bergamo",2015-02-05,"MASCHI",21,548945,0,382551986082394
"108","Bergamo",2015-02-05,"TOTALE",38,1108737,0,342732316139896
"109","Bergamo",2015-02-06,"FEMMINE",25,559788,0,446597640535346
"110","Bergamo",2015-02-06,"MASCHI",16,548942,0,291469772762878
"111","Bergamo",2015-02-06,"TOTALE",41,1108730,0,369792465253037
"112","Bergamo",2015-02-07,"FEMMINE",17,559784,0,303688565589585
"113","Bergamo",2015-02-07,"MASCHI",23,548939,0,418990088151871
"114","Bergamo",2015-02-07,"TOTALE",40,1108724,0,360775089201641
"115","Bergamo",2015-02-08,"FEMMINE",19,559781,0,339418451144287
"116","Bergamo",2015-02-08,"MASCHI",14,548936,0,255038838771733
"117","Bergamo",2015-02-08,"TOTALE",33,1108717,0,297641327768944
"118","Bergamo",2015-02-09,"FEMMINE",23,559777,0,41087790316501
"119","Bergamo",2015-02-09,"MASCHI",17,548934,0,309691146840968
"120","Bergamo",2015-02-09,"TOTALE",40,1108711,0,360779319407853
"121","Bergamo",2015-02-10,"FEMMINE",27,559773,0,482338376449025
"122","Bergamo",2015-02-10,"MASCHI",20,548931,0,364344516888279
"123","Bergamo",2015-02-10,"TOTALE",47,1108704,0,423918376771438
"124","Bergamo",2015-02-11,"FEMMINE",24,559769,0,428748287239915
"125","Bergamo",2015-02-11,"MASCHI",12,548928,0,21860790486184
"126","Bergamo",2015-02-11,"TOTALE",36,1108697,0,324705487612937
"127","Bergamo",2015-02-12,"FEMMINE",21,559765,0,3751574321367
"128","Bergamo",2015-02-12,"MASCHI",18,548925,0,327913649405657
"129","Bergamo",2015-02-12,"TOTALE",39,1108691,0,351766181920842
"130","Bergamo",2015-02-13,"FEMMINE",24,559761,0,428754414830615
"131","Bergamo",2015-02-13,"MASCHI",20,548923,0,364349826842745
"132","Bergamo",2015-02-13,"TOTALE",44,1108684,0,39686691609151
"133","Bergamo",2015-02-14,"FEMMINE",9,559757,0,160784054509367
"134","Bergamo",2015-02-14,"MASCHI",16,548920,0,291481454492458
"135","Bergamo",2015-02-14,"TOTALE",25,1108678,0,225493786293225
"136","Bergamo",2015-02-15,"FEMMINE",25,559754,0,446624767308496
"137","Bergamo",2015-02-15,"MASCHI",9,548917,0,163959214234575
"138","Bergamo",2015-02-15,"TOTALE",34,1108671,0,306673485641818
"139","Bergamo",2015-02-16,"FEMMINE",23,559750,0,41089772219741
"140","Bergamo",2015-02-16,"MASCHI",22,548914,0,400791380799178
"141","Bergamo",2015-02-16,"TOTALE",45,1108664,0,405893940815251
"142","Bergamo",2015-02-17,"FEMMINE",20,559746,0,357304920446059
"143","Bergamo",2015-02-17,"MASCHI",15,548912,0,273267846212143
"144","Bergamo",2015-02-17,"TOTALE",35,1108658,0,315696995827388
"145","Bergamo",2015-02-18,"FEMMINE",21,559742,0,375172847490451
"146","Bergamo",2015-02-18,"MASCHI",20,548909,0,364359119635495
"147","Bergamo",2015-02-18,"TOTALE",41,1108651,0,369818815840152
"148","Bergamo",2015-02-19,"FEMMINE",11,559738,0,196520514955211
"149","Bergamo",2015-02-19,"MASCHI",13,548906,0,236834722156435
"150","Bergamo",2015-02-19,"TOTALE",24,1108645,0,216480478421857
"151","Bergamo",2015-02-20,"FEMMINE",20,559734,0,357312580618651
"152","Bergamo",2015-02-20,"MASCHI",14,548903,0,25505417168425
"153","Bergamo",2015-02-20,"TOTALE",34,1108638,0,306682614162603
"154","Bergamo",2015-02-21,"FEMMINE",21,559730,0,375180890786629
"155","Bergamo",2015-02-21,"MASCHI",13,548901,0,236836879510148
"156","Bergamo",2015-02-21,"TOTALE",34,1108631,0,306684550585362
"157","Bergamo",2015-02-22,"FEMMINE",15,559727,0,267987786903258
"158","Bergamo",2015-02-22,"MASCHI",20,548898,0,364366421448065
"159","Bergamo",2015-02-22,"TOTALE",35,1108625,0,315706393054459
"160","Bergamo",2015-02-23,"FEMMINE",12,559723,0,214391761639239
"161","Bergamo",2015-02-23,"MASCHI",17,548895,0,309713150966943
"162","Bergamo",2015-02-23,"TOTALE",29,1108618,0,261586948795708
"163","Bergamo",2015-02-24,"FEMMINE",32,559719,0,571715450074055
"164","Bergamo",2015-02-24,"MASCHI",17,548892,0,309714843721534
"165","Bergamo",2015-02-24,"TOTALE",49,1108612,0,441994133204403
"166","Bergamo",2015-02-25,"FEMMINE",16,559715,0,285859767917601
"167","Bergamo",2015-02-25,"MASCHI",13,548890,0,236841625826668
"168","Bergamo",2015-02-25,"TOTALE",29,1108605,0,261590016281723
"169","Bergamo",2015-02-26,"FEMMINE",14,559711,0,250129084473952
"170","Bergamo",2015-02-26,"MASCHI",14,548887,0,25506160648731
"171","Bergamo",2015-02-26,"TOTALE",28,1108598,0,252571265688735
"172","Bergamo",2015-02-27,"FEMMINE",21,559707,0,375196308068329
"173","Bergamo",2015-02-27,"MASCHI",11,548884,0,200406643298037
"174","Bergamo",2015-02-27,"TOTALE",32,1108592,0,288654437340338
"175","Bergamo",2015-02-28,"FEMMINE",15,559703,0,267999278188611
"176","Bergamo",2015-02-28,"MASCHI",15,548881,0,273283279982364
"177","Bergamo",2015-02-28,"TOTALE",30,1108585,0,270615243756681
"178","Bergamo",2015-03-01,"FEMMINE",22,559700,0,39306771484724
"179","Bergamo",2015-03-01,"MASCHI",13,548879,0,236846372333429
"180","Bergamo",2015-03-01,"TOTALE",35,1108579,0,315719493152946
"181","Bergamo",2015-03-02,"FEMMINE",18,559699,0,321601432198378
