"","NOME_COMUNE","NOME_PROVINCIA","DECESSI_HIGH","DECESSI_LOW","AVG","longitudine","latitudine"
"414","Chiesa in Valmalenco","Sondrio",3,0,3,9.84832637,46.26376909
"415","Chieve","Cremona",2,0,2,9.6161229,45.33750304
"416","Chignolo d'Isola","Bergamo",28,28,28,9.52722734,45.66512539
"417","Chignolo Po","Pavia",18,18,18,9.48820517,45.15251471
"418","Chiuduno","Bergamo",46,46,46,9.85376247,45.64690256
"419","Chiuro","Sondrio",12,12,12,9.98921231,46.16955671
"420","Cicognolo","Cremona",2,0,2,10.1940419,45.16761765
"421","Cigognola","Pavia",18,18,18,9.24377127,45.03309465
"422","Cigole","Brescia",3,0,3,10.19136828,45.30993454
"423","Cilavegna","Pavia",24,24,24,8.74367717,45.3104294
"424","Cimbergo","Brescia",1,0,1,10.36307614,46.02385329
"425","Cingia de' Botti","Cremona",52,52,52,10.27527725,45.0841602
"426","Cinisello Balsamo","Milano",220,220,220,9.21357368,45.55836354
"427","Cino","Sondrio",1,0,1,9.48531084,46.15842853
"428","Cirimido","Como",3,0,3,9.01108636,45.69881381
"429","Cisano Bergamasco","Bergamo",38,38,38,9.47436152,45.74238525
"430","Ciserano","Bergamo",40,40,40,9.60072632,45.58667048
"431","Cislago","Varese",14,3,14,8.97062131,45.66174873
"432","Cisliano","Milano",7,0,7,8.9860794,45.44604503
"433","Cittiglio","Varese",10,0,10,8.66871307,45.8946628
"434","Civate","Lecco",24,24,24,9.34739938,45.82585276
"435","Cividate al Piano","Bergamo",76,76,76,9.8297951,45.55425697
"436","Cividate Camuno","Brescia",14,14,14,10.27954747,45.94348981
"437","Civo","Sondrio",3,0,3,9.58121409,46.15634566
"438","Claino con Osteno","Como",2,0,2,9.08434077,46.00691802
"439","Clivio","Varese",4,0,4,8.93358998,45.86445858
"440","Clusone","Bergamo",184,184,184,9.94697311,45.89156953
"441","Coccaglio","Brescia",86,86,86,9.97696104,45.56238459
"442","Cocquio-Trevisago","Varese",14,14,14,8.6965465,45.85787962
"443","Codevilla","Pavia",3,0,3,9.05549504,44.96399925
"444","Codogno","Lodi",228,228,228,9.70319172,45.16002706
"445","Cogliate","Monza e della Brianza",12,12,12,9.08184646,45.645753
"446","Colere","Bergamo",3,0,3,10.08572191,45.97390225
"447","Colico","Lecco",30,30,30,9.37501095,46.13383442
"448","Colle Brianza","Lecco",2,0,2,9.36590868,45.76169384
"449","Collebeato","Brescia",32,32,32,10.21388771,45.58567193
"450","Collio","Brescia",10,10,10,10.33333286,45.81116683
"451","Cologne","Brescia",58,58,58,9.94305337,45.58560661
"452","Cologno al Serio","Bergamo",16,4,16,9.70610192,45.57940957
"453","Cologno Monzese","Milano",180,180,180,9.27516655,45.52979668
"454","Colonno","Como",0,0,0,9.15409988,45.95773383
"455","Colorina","Sondrio",3,0,3,9.7334632,46.15184527
"456","Colturano","Milano",2,0,2,9.34922924,45.38189911
"457","Colverde","Como",12,12,12,9.00494,45.8105
"458","Colzate","Bergamo",16,16,16,9.85631135,45.81595823
"459","Comabbio","Varese",2,0,2,8.67466593,45.77263671
"460","Comazzo","Lodi",2,0,2,9.46396154,45.44065289
"461","Comerio","Varese",12,12,12,8.74709374,45.8426223
"462","Comezzano-Cizzago","Brescia",7,1,7,9.94904429,45.47259447
"463","Commessaggio","Mantova",3,0,3,10.54534234,45.03460205
"464","Como","Como",280,280,280,9.08515955,45.8099912
"465","Comun Nuovo","Bergamo",32,32,32,9.66473652,45.62325078
"466","Concesio","Brescia",80,80,80,10.21846104,45.60437212
"467","Concorezzo","Monza e della Brianza",66,66,66,9.33865795,45.59105589
"468","Confienza","Pavia",4,0,4,8.55760228,45.33191517
"469","Copiano","Pavia",4,0,4,9.32090675,45.19747789
"470","Corana","Pavia",2,0,2,8.96949055,45.06288562
"471","Corbetta","Milano",44,44,44,8.92189794,45.46753305
"472","Cormano","Milano",110,110,110,9.17254222,45.54301244
"473","Corna Imagna","Bergamo",1,0,1,9.5444751,45.83152482
"474","Cornalba","Bergamo",2,0,2,9.7446448,45.85024428
"475","Cornale e Bastida","Pavia",2,0,2,8.91089,45.0439
"476","Cornaredo","Milano",38,38,38,9.02583153,45.50196836
"477","Cornate d'Adda","Monza e della Brianza",56,56,56,9.46388698,45.64875974
"478","Cornegliano Laudense","Lodi",3,0,3,9.47244994,45.28440382
"479","Corno Giovine","Lodi",24,24,24,9.75575331,45.13316732
"480","Cornovecchio","Lodi",0,0,0,9.79762322,45.1361358
"481","Correzzana","Monza e della Brianza",3,0,3,9.30446354,45.66785439
"482","Corrido","Como",1,0,1,9.13701384,46.04741939
"483","Corsico","Milano",90,90,90,9.10863096,45.43184871
"484","Corte de' Cortesi con Cignone","Cremona",1,0,1,10.00735107,45.27264649
"485","Corte de' Frati","Cremona",3,0,3,10.09695797,45.22006346
"486","Corte Franca","Brescia",54,54,54,10.0069824,45.63719867
"487","Corte Palasio","Lodi",2,0,2,9.56277245,45.31328084
"488","Corteno Golgi","Brescia",22,22,22,10.24224115,46.16596898
"489","Cortenova","Lecco",2,0,2,9.38375114,45.99971959
"490","Cortenuova","Bergamo",20,20,20,9.78579765,45.5386253
"491","Corteolona e Genzone","Pavia",14,14,14,9.3704,45.1588
"492","Corvino San Quirico","Pavia",5,0,5,9.15892253,45.01556343
"493","Corzano","Brescia",3,0,3,10.00779086,45.4442463
"494","Cosio Valtellino","Sondrio",10,10,10,9.54986826,46.13038313
"495","Costa de' Nobili","Pavia",1,0,1,9.37878994,45.13242075
"496","Costa di Mezzate","Bergamo",3,0,3,9.79445546,45.66292809
"497","Costa Masnaga","Lecco",34,34,34,9.27629819,45.76962292
"498","Costa Serina","Bergamo",3,0,3,9.73922304,45.83100576
"499","Costa Valle Imagna","Bergamo",2,0,2,9.5056612,45.80079491
"500","Costa Volpino","Bergamo",104,104,104,10.09399319,45.82794219
"501","Covo","Bergamo",8,0,8,9.76854314,45.50113193
"502","Cozzo","Pavia",2,0,2,8.61109735,45.19212476
"503","Crandola Valsassina","Lecco",2,0,2,9.38010344,46.02218424
"504","Credaro","Bergamo",28,28,28,9.92901266,45.65844869
"505","Credera Rubbiano","Cremona",3,0,3,9.65512749,45.30286286
"506","Crema","Cremona",322,322,322,9.6873619,45.36329144
"507","Cremella","Lecco",4,0,4,9.30340979,45.73994321
"508","Cremenaga","Varese",3,0,3,8.80659213,45.98924397
"509","Cremeno","Lecco",3,0,3,9.47362557,45.93336923
"510","Cremia","Como",2,0,2,9.2707257,46.0857975
"511","Cremona","Cremona",728,728,728,10.02420865,45.13336675
"512","Cremosano","Cremona",4,0,4,9.64028087,45.3957885
"513","Crespiatica","Lodi",18,18,18,9.57460944,45.35705659
"514","Crosio della Valle","Varese",0,0,0,8.76756905,45.76163488
"515","Crotta d'Adda","Cremona",2,0,2,9.85252768,45.16136831
"516","Cuasso al Monte","Varese",5,0,5,8.8798154,45.91440418
"517","Cucciago","Como",4,0,4,9.09150332,45.73888869
"518","Cuggiono","Milano",36,36,36,8.82157381,45.50692962
"519","Cugliate-Fabiasco","Varese",3,1,3,8.82065422,45.94703032
"520","Cumignano sul Naviglio","Cremona",0,0,0,9.83631833,45.35455461
"521","Cunardo","Varese",4,0,4,8.80225408,45.93781498
"522","Cura Carpignano","Pavia",10,10,10,9.25707038,45.21179419
"523","Curiglia con Monteviasco","Varese",0,0,0,8.8048167,46.06064966
"524","Curno","Bergamo",60,60,60,9.61132252,45.69154232
"525","Curtatone","Mantova",40,40,40,10.7162709,45.13376694
"526","Cusago","Milano",6,0,6,9.03350632,45.44666694
"527","Cusano Milanino","Milano",62,62,62,9.18157036,45.55073318
"528","Cusino","Como",1,0,1,9.15275144,46.07437799
"529","Cusio","Bergamo",0,0,0,9.6034789,45.98943086
"530","Cuveglio","Varese",6,1,6,8.73583523,45.90596577
"531","Cuvio","Varese",6,0,6,8.73138709,45.89803114
"532","Dairago","Milano",22,22,22,8.86615879,45.56810463
"533","Dalmine","Bergamo",252,252,252,9.60117345,45.64796557
"534","Darfo Boario Terme","Brescia",136,136,136,10.18048381,45.88347362
"535","Daverio","Varese",3,0,3,8.77150586,45.77710951
"536","Dazio","Sondrio",1,0,1,9.60020195,46.16072439
"537","Delebio","Sondrio",8,8,8,9.45925496,46.1371564
"538","Dello","Brescia",30,30,30,10.07977147,45.41654998
"539","Derovere","Cremona",0,0,0,10.24830654,45.11014217
"540","Dervio","Lecco",7,1,7,9.30672896,46.07707832
"541","Desenzano del Garda","Brescia",158,158,158,10.5415883,45.46858257
"542","Desio","Monza e della Brianza",82,82,82,9.20882654,45.62011658
"543","Dizzasco","Como",3,0,3,9.10146455,45.94387236
"544","Dolzago","Lecco",5,0,5,9.34365014,45.76837239
"545","Domaso","Como",4,0,4,9.32846683,46.15194609
"546","Dongo","Como",8,8,8,9.27949844,46.12302711
"547","Dorio","Lecco",1,0,1,9.31936763,46.1017344
"548","Dorno","Pavia",17,0,17,8.95195475,45.15485373
"549","Dosolo","Mantova",36,36,36,10.64141144,44.95374837
"550","Dossena","Bergamo",2,0,2,9.69696495,45.87917249
"551","Dosso del Liro","Como",0,0,0,9.27369623,46.16368321
"552","Dovera","Cremona",24,24,24,9.5381977,45.36350267
"553","Dresano","Milano",12,12,12,9.36121873,45.37386953
"554","Dubino","Sondrio",10,0,10,9.46088113,46.15299771
"555","Dumenza","Varese",2,0,2,8.78485575,46.02277146
"556","Duno","Varese",0,0,0,8.73854155,45.91405764
"557","Edolo","Brescia",9,0,9,10.33711194,46.1782314
"558","Ello","Lecco",1,0,1,9.36569195,45.78781576
"559","Endine Gaiano","Bergamo",8,2,8,9.9764931,45.79018606
"560","Entratico","Bergamo",3,0,3,9.87476548,45.70548346
"561","Erba","Como",42,42,42,9.22318311,45.81193507
"562","Erbusco","Brescia",12,5,12,9.97324124,45.59951824
"563","Erve","Lecco",2,0,2,9.44559378,45.82074408
"564","Esine","Brescia",10,2,10,10.25917638,45.92401953
"565","Esino Lario","Lecco",2,0,2,9.33536596,45.99492366
"566","Eupilio","Como",3,0,3,9.26770263,45.81692297
"567","Faedo Valtellino","Sondrio",1,0,1,9.90632697,46.15308224
"568","Faggeto Lario","Como",2,0,2,9.15983766,45.85807982
"569","Fagnano Olona","Varese",26,26,26,8.87410817,45.66960007
"570","Faloppio","Como",6,0,6,8.96320128,45.81217463
"571","Fara Gera d'Adda","Bergamo",38,38,38,9.53074769,45.55086391
"572","Fara Olivana con Sola","Bergamo",3,0,3,9.74973966,45.49516206
"573","Fenegrò","Como",5,0,5,9.00273087,45.70159962
"574","Ferno","Varese",14,2,14,8.75884994,45.61026875
"575","Ferrera di Varese","Varese",0,0,0,8.78818329,45.93232904
"576","Ferrera Erbognone","Pavia",6,0,6,8.86376906,45.11328526
"577","Fiesco","Cremona",2,0,2,9.77855341,45.33639762
"578","Fiesse","Brescia",5,0,5,10.32170366,45.23334134
"579","Figino Serenza","Como",16,16,16,9.12719392,45.71163141
"580","Filago","Bergamo",5,0,5,9.55385295,45.6362699
"581","Filighera","Pavia",3,0,3,9.31407227,45.17734084
"582","Fino del Monte","Bergamo",2,0,2,9.99215462,45.8904533
"583","Fino Mornasco","Como",17,1,17,9.04857887,45.74611655
"584","Fiorano al Serio","Bergamo",76,76,76,9.84166374,45.79948279
"585","Flero","Brescia",42,42,42,10.17589208,45.48235605
"586","Fombio","Lodi",30,30,30,9.6835988,45.13679397
"587","Fontanella","Bergamo",11,3,11,9.80044757,45.47222286
"588","Fonteno","Bergamo",20,20,20,10.01921554,45.75786413
"589","Forcola","Sondrio",3,0,3,9.66106927,46.15823034
"590","Foresto Sparso","Bergamo",30,30,30,9.91367871,45.69511225
"591","Formigara","Cremona",2,0,2,9.77073788,45.22306217
"592","Fornovo San Giovanni","Bergamo",6,1,6,9.67510261,45.49614791
"593","Fortunago","Pavia",1,0,1,9.18468553,44.92159589
"594","Frascarolo","Pavia",3,0,3,8.68279849,45.04690209
"595","Fuipiano Valle Imagna","Bergamo",0,0,0,9.52497381,45.85710204
"596","Fusine","Sondrio",1,0,1,9.75010748,46.14946685
"597","Gabbioneta-Binanuova","Cremona",1,0,1,10.2216801,45.21581505
"598","Gadesco-Pieve Delmona","Cremona",3,0,3,10.11603436,45.15529613
"599","Gaggiano","Milano",18,18,18,9.03451722,45.40571729
"600","Galbiate","Lecco",44,44,44,9.37443985,45.81434886
"601","Galgagnano","Lodi",1,0,1,9.44295797,45.35787967
"602","Gallarate","Varese",115,75,115,8.79329925,45.66018302
"603","Galliate Lombardo","Varese",1,0,1,8.76853346,45.78629177
"604","Galliavola","Pavia",1,0,1,8.81862618,45.09718401
"605","Gambara","Brescia",22,22,22,10.29778932,45.25386029
"606","Gambarana","Pavia",1,0,1,8.76279748,45.02873481
"607","Gambolò","Pavia",48,48,48,8.8615853,45.24979779
"608","Gandellino","Bergamo",20,20,20,9.94595319,45.99065651
"609","Gandino","Bergamo",110,110,110,9.90400497,45.81128887
"610","Gandosso","Bergamo",16,16,16,9.88989631,45.66236043
"611","Garbagnate Milanese","Milano",66,66,66,9.07748677,45.57560674
"612","Garbagnate Monastero","Lecco",2,0,2,9.3026694,45.77238143
"613","Gardone Riviera","Brescia",7,0,7,10.55799486,45.62009093
"614","Gardone Val Trompia","Brescia",88,88,88,10.18222299,45.68909413
"615","Gargnano","Brescia",8,8,8,10.65994462,45.68981041
"616","Garlasco","Pavia",32,16,32,8.92353757,45.1963838
"617","Garlate","Lecco",3,0,3,9.40408793,45.80427241
"618","Garzeno","Como",3,0,3,9.24985634,46.13409064
"619","Gavardo","Brescia",52,52,52,10.43467889,45.58673467
"620","Gaverina Terme","Bergamo",3,0,3,9.88615741,45.75834161
"621","Gavirate","Varese",27,2,27,8.72477105,45.84113211
"622","Gazoldo degli Ippoliti","Mantova",12,12,12,10.57957827,45.19989216
"623","Gazzada Schianno","Varese",7,0,7,8.82558358,45.78025066
"624","Gazzaniga","Bergamo",134,134,134,9.83572599,45.79743158
"625","Gazzuolo","Mantova",9,0,9,10.58184611,45.06885217
"626","Gemonio","Varese",6,0,6,8.67884895,45.87741982
"627","Genivolta","Cremona",3,0,3,9.87778112,45.33487444
"628","Gera Lario","Como",2,0,2,9.37110185,46.17062506
"629","Gerenzago","Pavia",1,0,1,9.36220485,45.20355606
"630","Gerenzano","Varese",14,4,14,8.99858062,45.63843744
"631","Germignaga","Varese",10,10,10,8.72680431,45.99340192
"632","Gerola Alta","Sondrio",0,0,0,9.55022548,46.06002756
"633","Gerre de' Caprioli","Cremona",3,0,3,10.03838081,45.10680778
"634","Gessate","Milano",40,40,40,9.43675493,45.55548598
"635","Ghedi","Brescia",30,14,30,10.27692536,45.40219778
"636","Ghisalba","Bergamo",38,38,38,9.75443504,45.59161982
"637","Gianico","Brescia",22,22,22,10.1839733,45.86531336
"638","Giussago","Pavia",18,18,18,9.13993742,45.28429328
"639","Giussano","Monza e della Brianza",60,60,60,9.20492999,45.6914208
"640","Godiasco Salice Terme","Pavia",14,14,14,9.05797207,44.89757219
"641","Goito","Mantova",74,74,74,10.67547029,45.25521903
"642","Golasecca","Varese",9,2,9,8.65509793,45.696857
"643","Golferenzo","Pavia",0,0,0,9.30696852,44.96175776
"644","Gombito","Cremona",3,0,3,9.7300216,45.26222878
"645","Gonzaga","Mantova",19,8,19,10.82119368,44.95474885
"646","Gordona","Sondrio",2,0,2,9.36858614,46.2916854
"647","Gorgonzola","Milano",54,54,54,9.40541159,45.53026195
"648","Gorla Maggiore","Varese",14,14,14,8.89352477,45.66609126
"649","Gorla Minore","Varese",24,24,24,8.89650863,45.64326093
"650","Gorlago","Bergamo",10,3,10,9.8291696,45.67653217
"651","Gorle","Bergamo",74,74,74,9.71877961,45.70242869
"652","Gornate Olona","Varese",4,0,4,8.85910112,45.73774934
"653","Gorno","Bergamo",26,26,26,9.84340028,45.86280091
"654","Gottolengo","Brescia",62,62,62,10.27151767,45.29173169
"655","Graffignana","Lodi",14,14,14,9.45327197,45.21132374
"656","Grandate","Como",12,12,12,9.05829996,45.7738937
"657","Grandola ed Uniti","Como",4,0,4,9.20713269,46.03131732
"658","Grantola","Varese",3,0,3,8.7707667,45.94960692
"659","Grassobbio","Bergamo",9,0,9,9.72770139,45.65483964
"660","Gravedona ed Uniti","Como",12,0,12,9.30622961,46.1481075
"661","Gravellona Lomellina","Pavia",50,50,50,8.76399625,45.3288489
"662","Grezzago","Milano",5,0,5,9.49442413,45.59197707
"663","Griante","Como",2,0,2,9.23500949,45.99694371
"664","Gromo","Bergamo",16,16,16,9.92990165,45.97038555
"665","Grone","Bergamo",3,0,3,9.90882163,45.7272125
"666","Grontardo","Cremona",2,0,2,10.15161743,45.20140495
"667","Gropello Cairoli","Pavia",62,62,62,8.99214762,45.17717695
"668","Grosio","Sondrio",22,22,22,10.27571813,46.29730226
"669","Grosotto","Sondrio",6,0,6,10.2571315,46.27878002
"670","Grumello Cremonese ed Uniti","Cremona",2,0,2,9.86736262,45.19324785
"671","Grumello del Monte","Bergamo",11,5,11,9.86977119,45.6340166
"672","Guanzate","Como",9,2,9,9.01094873,45.72431329
"673","Guardamiglio","Lodi",28,28,28,9.68130572,45.10906231
"674","Gudo Visconti","Milano",1,0,1,8.99924951,45.37320485
"675","Guidizzolo","Mantova",42,42,42,10.5835291,45.31803119
"676","Gussago","Brescia",94,94,94,10.15314832,45.59242495
"677","Gussola","Cremona",22,22,22,10.34635794,45.00988015
"678","Idro","Brescia",3,0,3,10.47401396,45.73701964
"679","Imbersago","Lecco",5,1,5,9.44460607,45.70528562
"680","Inarzo","Varese",1,0,1,8.7364261,45.78677616
"681","Incudine","Brescia",2,0,2,10.35819325,46.22211483
"682","Induno Olona","Varese",26,8,26,8.83856569,45.85196664
"683","Introbio","Lecco",5,0,5,9.45180466,45.9763063
"684","Inverigo","Como",24,24,24,9.21493527,45.7329273
"685","Inverno e Monteleone","Pavia",3,0,3,9.38426433,45.19858107
"686","Inveruno","Milano",34,34,34,8.85360485,45.51294461
"687","Inzago","Milano",42,42,42,9.48224972,45.54114755
"688","Iseo","Brescia",23,7,23,10.05004398,45.65982928
"689","Isola di Fondra","Bergamo",0,0,0,9.7475071,45.9807891
"690","Isola Dovarese","Cremona",16,16,16,10.31183922,45.17346097
"691","Isorella","Brescia",16,16,16,10.31665753,45.3075627
"692","Ispra","Varese",20,20,20,8.61026566,45.81617289
"693","Isso","Bergamo",1,0,1,9.75897489,45.476295
"694","Izano","Cremona",4,0,4,9.75509291,45.35573177
"695","Jerago con Orago","Varese",8,0,8,8.79253825,45.70524944
"696","La Valletta Brianza","Lecco",8,0,8,9.3641,45.7386
"697","Lacchiarella","Milano",17,11,17,9.13737385,45.32117579
"698","Laglio","Como",2,0,2,9.14007012,45.88352177
"699","Lainate","Milano",74,74,74,9.02714484,45.57145592
"700","Laino","Como",2,0,2,9.07385525,45.98329717
"701","Lallio","Bergamo",9,1,9,9.6268812,45.66731611
"702","Lambrugo","Como",6,0,6,9.24151448,45.75846534
"703","Landriano","Pavia",28,28,28,9.25958712,45.31128201
"704","Langosco","Pavia",2,0,2,8.56284388,45.21533301
"705","Lanzada","Sondrio",1,0,1,9.87391438,46.2693901
"706","Lardirago","Pavia",3,0,3,9.2343757,45.23543708
"707","Lasnigo","Como",1,0,1,9.26407017,45.88068666
"708","Lavena Ponte Tresa","Varese",11,2,11,8.86107511,45.96092516
"709","Laveno-Mombello","Varese",26,12,26,8.61535619,45.91578637
"710","Lavenone","Brescia",0,0,0,10.43796818,45.73901274
"711","Lazzate","Monza e della Brianza",11,0,11,9.08418935,45.66877588
"712","Lecco","Lecco",182,182,182,9.39339225,45.8557578
"713","Leffe","Bergamo",120,120,120,9.88525625,45.79979518
"714","Leggiuno","Varese",14,2,14,8.6193312,45.87562703
"715","Legnano","Milano",198,198,198,8.91854994,45.59413716
"716","Lenna","Bergamo",18,18,18,9.67730257,45.94318433
"717","Leno","Brescia",16,3,16,10.21741867,45.36749972
"718","Lentate sul Seveso","Monza e della Brianza",25,6,25,9.11924273,45.67821761
"719","Lesmo","Monza e della Brianza",6,0,6,9.30248056,45.64638161
"720","Levate","Bergamo",30,30,30,9.62447164,45.62522363
"721","Lezzeno","Como",9,0,9,9.19108571,45.94546302
"722","Lierna","Lecco",4,0,4,9.30693738,45.95614539
"723","Limbiate","Monza e della Brianza",68,68,68,9.12302747,45.60503375
"724","Limido Comasco","Como",7,0,7,8.98270779,45.68970324
"725","Limone sul Garda","Brescia",1,0,1,10.79290209,45.81333026
"726","Linarolo","Pavia",8,8,8,9.2678855,45.16021171
"727","Lipomo","Como",22,22,22,9.12147915,45.79479996
"728","Lirio","Pavia",0,0,0,9.25553586,44.99401253
"729","Liscate","Milano",5,0,5,9.40946947,45.48132241
"730","Lissone","Monza e della Brianza",126,126,126,9.24385612,45.61053451
"731","Livigno","Sondrio",4,0,4,10.13481042,46.53867334
"732","Livo","Como",0,0,0,9.30419652,46.16890738
"733","Livo","Como",0,0,0,11.01916869,46.40554978
"734","Livraga","Lodi",36,36,36,9.54480862,45.19263197
"735","Locate di Triulzi","Milano",34,34,34,9.22117365,45.35766067
"736","Locate Varesino","Como",9,0,9,8.93081757,45.69035206
"737","Locatello","Bergamo",0,0,0,9.53254936,45.83222039
"738","Lodi","Lodi",374,374,374,9.50372077,45.31440693
"739","Lodi Vecchio","Lodi",46,46,46,9.41484635,45.30071382
"740","Lodrino","Brescia",8,8,8,10.27760199,45.71774346
"741","Lograto","Brescia",36,36,36,10.0574385,45.48318568
"742","Lomagna","Lecco",16,16,16,9.37567172,45.66758561
"743","Lomazzo","Como",22,22,22,9.04014928,45.69902477
"744","Lomello","Pavia",12,12,12,8.79265237,45.12176665
"745","Lonate Ceppino","Varese",12,12,12,8.87627239,45.70528783
"746","Lonate Pozzolo","Varese",34,34,34,8.75237386,45.60005908
"747","Lonato del Garda","Brescia",90,90,90,10.48429285,45.46089172
"748","Longhena","Brescia",1,0,1,10.05965597,45.43814089
"749","Longone al Segrino","Como",1,0,1,9.25099763,45.81724782
"750","Losine","Brescia",1,0,1,10.31750867,45.98358956
"751","Lovere","Bergamo",58,58,58,10.07160122,45.81288555
"752","Lovero","Sondrio",1,0,1,10.23029598,46.23084025
"753","Lozio","Brescia",0,0,0,10.26089085,45.98563822
"754","Lozza","Varese",1,0,1,8.85705579,45.77548006
"755","Luino","Varese",37,22,37,8.74242933,46.00249108
"756","Luisago","Como",10,10,10,9.04345668,45.76121718
"757","Lumezzane","Brescia",102,102,102,10.261756,45.65014976
"758","Lungavilla","Pavia",12,12,12,9.0785878,45.04490566
"759","Lurago d'Erba","Como",14,14,14,9.22473624,45.75348513
"760","Lurago Marinone","Como",4,0,4,8.98394626,45.70780673
"761","Lurano","Bergamo",5,0,5,9.63944209,45.5650278
"762","Lurate Caccivio","Como",26,26,26,9.00067971,45.7655543
"763","Luvinate","Varese",1,0,1,8.77246432,45.83955502
"764","Luzzana","Bergamo",1,0,1,9.87986502,45.71597847
"765","Maccagno con Pino e Veddasca","Varese",8,8,8,8.74237,46.0426
"766","Macherio","Monza e della Brianza",28,28,28,9.27120605,45.64130613
"767","Maclodio","Brescia",2,0,2,10.04178291,45.47674013
"768","Madesimo","Sondrio",0,0,0,9.3441755,46.42815069
"769","Madignano","Cremona",28,28,28,9.72762376,45.34334663
"770","Madone","Bergamo",34,34,34,9.54994881,45.65199573
"771","Magasa","Brescia",1,0,1,10.6164034,45.78147613
"772","Magenta","Milano",64,64,64,8.8834256,45.46610604
"773","Magherno","Pavia",16,16,16,9.32949555,45.2224498
"774","Magnacavallo","Mantova",18,18,18,11.1847367,45.00462322
"775","Magnago","Milano",22,22,22,8.80052532,45.58059715
"776","Magreglio","Como",3,0,3,9.26189473,45.92002394
"777","Mairago","Lodi",6,0,6,9.57849814,45.2522616
"778","Mairano","Brescia",18,18,18,10.07630769,45.45020038
"779","Malagnino","Cremona",10,10,10,10.11422694,45.13494893
"780","Malegno","Brescia",14,14,14,10.2724111,45.95070971
"781","Maleo","Lodi",72,72,72,9.7645369,45.16820705
"782","Malgesso","Varese",2,0,2,8.6761411,45.82769458
"783","Malgrate","Lecco",8,0,8,9.3734067,45.85188226
"784","Malnate","Varese",37,0,37,8.88111094,45.79952624
"785","Malonno","Brescia",30,30,30,10.31478286,46.11866545
"786","Mandello del Lario","Lecco",38,38,38,9.31952487,45.91727086
"787","Manerba del Garda","Brescia",24,24,24,10.55142577,45.55009614
"788","Manerbio","Brescia",154,154,154,10.13902184,45.35430213
"789","Mantello","Sondrio",0,0,0,9.48804765,46.15290306
"790","Mantova","Mantova",192,192,192,10.79277363,45.15726772
"791","Mapello","Bergamo",14,14,14,9.54573257,45.70939829
"792","Marcallo con Casone","Milano",14,5,14,8.86750142,45.48437101
"793","Marcaria","Mantova",23,5,23,10.53358846,45.11961873
"794","Marcheno","Brescia",22,22,22,10.21419546,45.70599766
"795","Marchirolo","Varese",6,0,6,8.8357696,45.95158873
"796","Marcignago","Pavia",6,1,6,9.07736899,45.25435216
"797","Margno","Lecco",0,0,0,9.37998387,46.03048114
"798","Mariana Mantovana","Mantova",1,0,1,10.4876164,45.19403347
"799","Mariano Comense","Como",80,80,80,9.18251093,45.69709757
"800","Marmentino","Brescia",1,0,1,10.28194328,45.75282746
"801","Marmirolo","Mantova",24,24,24,10.75731353,45.22234005
"802","Marnate","Varese",11,2,11,8.90387061,45.62847701
"803","Marone","Brescia",24,24,24,10.09156211,45.73709034
"804","Martignana di Po","Cremona",8,8,8,10.37927438,45.01090343
"805","Martinengo","Bergamo",10,0,10,9.76736896,45.57167298
"806","Marudo","Lodi",3,0,3,9.374991,45.25255767
"807","Marzano","Pavia",0,0,0,9.29457635,45.247586
"808","Marzio","Varese",0,0,0,8.85776946,45.93784232
"809","Masate","Milano",12,12,12,9.46650825,45.56842201
"810","Masciago Primo","Varese",0,0,0,8.78080342,45.91642152
"811","Maslianico","Como",18,18,18,9.04846523,45.8425639
"812","Massalengo","Lodi",8,8,8,9.48985029,45.26351699
"813","Mazzano","Brescia",16,5,16,10.35979044,45.50360347
"814","Mazzo di Valtellina","Sondrio",3,0,3,10.25480299,46.25648281
"815","Meda","Monza e della Brianza",52,52,52,9.15527217,45.66155081
"816","Mede","Pavia",23,10,23,8.73661355,45.09693827
"817","Mediglia","Milano",152,152,152,9.32377394,45.40122623
"818","Medolago","Bergamo",5,0,5,9.49354197,45.67277395
"819","Medole","Mantova",10,0,10,10.50745401,45.32707278
"820","Melegnano","Milano",84,84,84,9.32425217,45.35753074
"821","Meleti","Lodi",1,0,1,9.83678055,45.11879786
"822","Mello","Sondrio",4,0,4,9.54426446,46.15462874
"823","Melzo","Milano",66,66,66,9.4239803,45.49793248
"824","Menaggio","Como",16,16,16,9.23891075,46.02110324
"825","Menconico","Pavia",5,0,5,9.27906118,44.79595014
"826","Merate","Lecco",28,14,28,9.41001487,45.69853645
"827","Mercallo","Varese",6,0,6,8.67210331,45.74672525
"828","Merlino","Lodi",2,0,2,9.42987934,45.43290041
"829","Merone","Como",4,0,4,9.2451163,45.78638465
"830","Mese","Sondrio",3,0,3,9.37945672,46.30445337
"831","Mesenzana","Varese",4,0,4,8.75881336,45.94701873
"832","Mesero","Milano",10,10,10,8.85387846,45.49826845
"833","Mezzago","Monza e della Brianza",24,24,24,9.43948055,45.62597039
"834","Mezzana Bigli","Pavia",5,0,5,8.84596057,45.06088008
"835","Mezzana Rabattone","Pavia",2,2,2,9.03229261,45.09470572
"836","Mezzanino","Pavia",3,0,3,9.20681323,45.12638643
"837","Mezzoldo","Bergamo",2,0,2,9.66566839,46.01220471
"838","Milano","Milano",3992,3992,3992,9.1903474,45.46679408
"839","Milzano","Brescia",3,0,3,10.20043867,45.27554151
