"","NOME_COMUNE","NOME_PROVINCIA","DECESSI_HIGH","DECESSI_LOW","AVG","longitudine","latitudine"
"96","Barzanò","Lecco",16,16,16,9.31677649,45.73463917
"97","Barzio","Lecco",3,0,3,9.46834431,45.94646921
"98","Bascapè","Pavia",1,0,1,9.31542149,45.30464405
"99","Basiano","Milano",18,18,18,9.46820192,45.57442098
"100","Basiglio","Milano",18,18,18,9.1614742,45.36271707
"101","Bassano Bresciano","Brescia",3,0,3,10.12684596,45.33019122
"102","Bastida Pancarana","Pavia",3,0,3,9.0915536,45.08630345
"103","Bedizzole","Brescia",66,66,66,10.42277837,45.51035884
"104","Bedulita","Bergamo",3,0,3,9.55092365,45.79064007
"105","Belgioioso","Pavia",42,42,42,9.31602643,45.16273674
"106","Bellagio","Como",16,16,16,9.2459,45.9627
"107","Bellano","Lecco",7,0,7,9.30276896,46.04329184
"108","Bellinzago Lombardo","Milano",7,0,7,9.44597053,45.54083028
"109","Bellusco","Monza e della Brianza",46,46,46,9.41779202,45.61856248
"110","Bema","Sondrio",1,0,1,9.56456455,46.10831825
"111","Bene Lario","Como",0,0,0,9.18360351,46.0286252
"112","Berbenno","Bergamo",4,0,4,9.56832347,45.81171214
"113","Berbenno di Valtellina","Sondrio",12,12,12,9.74318959,46.16872282
"114","Beregazzo con Figliaro","Como",8,8,8,8.9508768,45.77587949
"115","Bereguardo","Pavia",4,0,4,9.02449546,45.25744652
"116","Bergamo","Bergamo",1380,1380,1380,9.66842453,45.69441368
"117","Berlingo","Brescia",24,24,24,10.03295371,45.50276977
"118","Bernareggio","Monza e della Brianza",48,48,48,9.40567521,45.65003338
"119","Bernate Ticino","Milano",4,0,4,8.81592589,45.47932974
"120","Bertonico","Lodi",3,0,3,9.66860158,45.23388802
"121","Berzo Demo","Brescia",14,14,14,10.33300826,46.09287052
"122","Berzo Inferiore","Brescia",4,1,4,10.27867321,45.93225933
"123","Berzo San Fermo","Bergamo",20,20,20,9.90029675,45.71817
"124","Besana in Brianza","Monza e della Brianza",31,13,31,9.28851108,45.700761
"125","Besano","Varese",24,24,24,8.88994859,45.88923148
"126","Besate","Milano",4,0,4,8.96731763,45.31224654
"127","Besnate","Varese",16,16,16,8.76940011,45.70035494
"128","Besozzo","Varese",22,3,22,8.66515456,45.85161622
"129","Biandronno","Varese",7,0,7,8.71232632,45.81939412
"130","Bianzano","Bergamo",2,0,2,9.91778785,45.7733787
"131","Bianzone","Sondrio",4,0,4,10.10930218,46.18393421
"132","Biassono","Monza e della Brianza",36,36,36,9.27623077,45.62856742
"133","Bienno","Brescia",8,0,8,10.29546917,45.93555453
"134","Binago","Como",10,10,10,8.92256563,45.78468601
"135","Binasco","Milano",52,52,52,9.09965859,45.33219808
"136","Bione","Brescia",10,10,10,10.34057147,45.67402934
"137","Bisuschio","Varese",5,0,5,8.87035829,45.8724144
"138","Bizzarone","Como",2,0,2,8.94596475,45.83503924
"139","Blessagno","Como",1,0,1,9.09739094,45.95989389
"140","Blevio","Como",1,0,1,9.10486477,45.84064094
"141","Bodio Lomnago","Varese",5,0,5,8.75143295,45.78988982
"142","Boffalora d'Adda","Lodi",3,0,3,9.49469045,45.35863081
"143","Boffalora sopra Ticino","Milano",9,0,9,8.82849071,45.46435927
"144","Bolgare","Bergamo",50,50,50,9.8202383,45.63185923
"145","Bollate","Milano",92,92,92,9.11765508,45.54384321
"146","Boltiere","Bergamo",12,0,12,9.57823378,45.59977641
"147","Bonate Sopra","Bergamo",42,42,42,9.55923638,45.6830883
"148","Bonate Sotto","Bergamo",13,3,13,9.56130516,45.66636307
"149","Bonemerse","Cremona",3,0,3,10.07836814,45.11404791
"150","Bordolano","Cremona",1,0,1,9.98705144,45.29285106
"151","Borgarello","Pavia",4,0,4,9.14068907,45.23942871
"152","Borghetto Lodigiano","Lodi",48,48,48,9.49802352,45.21274117
"153","Borgo di Terzo","Bergamo",2,0,2,9.89141094,45.72095531
"154","Borgo Priolo","Pavia",4,0,4,9.14841048,44.96650803
"155","Borgo San Giacomo","Brescia",50,50,50,9.97101776,45.35011663
"156","Borgo San Giovanni","Lodi",5,0,5,9.42534131,45.27563501
"157","Borgo San Siro","Pavia",3,0,3,8.91269284,45.23483612
"158","Borgo Virgilio","Mantova",32,32,32,10.775,45.088
"159","Borgoratto Mormorolo","Pavia",1,0,1,9.19322114,44.93011284
"160","Borgosatollo","Brescia",58,58,58,10.23603582,45.47507645
"161","Bormio","Sondrio",16,16,16,10.37559509,46.47015993
"162","Bornasco","Pavia",2,0,2,9.21835501,45.26637718
"163","Borno","Brescia",16,16,16,10.20580785,45.94679424
"164","Bosisio Parini","Lecco",4,0,4,9.2879219,45.80042412
"165","Bosnasco","Pavia",3,0,3,9.35689545,45.0639987
"166","Bossico","Bergamo",14,14,14,10.04486839,45.82701072
"167","Bottanuco","Bergamo",52,52,52,9.50359425,45.64081122
"168","Botticino","Brescia",86,86,86,10.32329909,45.54329565
"169","Bovegno","Brescia",10,10,10,10.2722153,45.79234745
"170","Bovezzo","Brescia",54,54,54,10.24349364,45.59163275
"171","Bovisio-Masciago","Monza e della Brianza",26,26,26,9.14866196,45.61109324
"172","Bozzolo","Mantova",11,1,11,10.48451639,45.10531346
"173","Bracca","Bergamo",2,0,2,9.70781335,45.82266222
"174","Brallo di Pregola","Pavia",8,8,8,9.28189064,44.7384555
"175","Brandico","Brescia",1,0,1,10.05092043,45.45427209
"176","Branzi","Bergamo",2,0,2,9.75868016,46.00494814
"177","Braone","Brescia",1,0,1,10.34243041,45.99021192
"178","Brebbia","Varese",10,3,10,8.64986902,45.82856738
"179","Bregano","Varese",1,0,1,8.69246682,45.82367289
"180","Bregnano","Como",12,0,12,9.06252406,45.6989627
"181","Brembate","Bergamo",74,74,74,9.55516253,45.60388463
"182","Brembate di Sopra","Bergamo",176,176,176,9.57758711,45.71627848
"183","Brembio","Lodi",24,24,24,9.56969713,45.2151031
"184","Breme","Pavia",22,22,22,8.62332043,45.12790235
"185","Brenna","Como",3,0,3,9.18775301,45.74164179
"186","Breno","Brescia",38,38,38,10.30204086,45.95601285
"187","Brenta","Varese",3,0,3,8.68415016,45.89520908
"188","Brescia","Brescia",1190,1190,1190,10.21910323,45.53993052
"189","Bressana Bottarone","Pavia",14,14,14,9.1350806,45.07364272
"190","Bresso","Milano",146,146,146,9.18762977,45.53760014
"191","Brezzo di Bedero","Varese",3,0,3,8.71839172,45.97788916
"192","Brienno","Como",1,0,1,9.13139045,45.91174236
"193","Brignano Gera d'Adda","Bergamo",9,4,9,9.64789634,45.5445147
"194","Brinzio","Varese",2,0,2,8.78680655,45.88913557
"195","Brione","Brescia",2,0,2,10.14980761,45.64071464
"196","Briosco","Monza e della Brianza",10,10,10,9.23719684,45.70929261
"197","Brissago-Valtravaglia","Varese",3,0,3,8.74641128,45.94962111
"198","Brivio","Lecco",56,56,56,9.44832519,45.74211964
"199","Broni","Pavia",46,46,46,9.26129813,45.06197007
"200","Brugherio","Monza e della Brianza",136,136,136,9.30006028,45.55103032
"201","Brumano","Bergamo",0,0,0,9.50061272,45.85462791
"202","Brunate","Como",3,0,3,9.09641584,45.81977176
"203","Brunello","Varese",1,0,1,8.7958022,45.76615745
"204","Brusaporto","Bergamo",40,40,40,9.76126081,45.67082667
"205","Brusimpiano","Varese",2,0,2,8.88960338,45.94718903
"206","Bubbiano","Milano",3,0,3,9.01336985,45.32732507
"207","Buccinasco","Milano",36,36,36,9.10757505,45.42126896
"208","Buglio in Monte","Sondrio",3,0,3,9.67539142,46.18335411
"209","Buguggiate","Varese",7,0,7,8.80675732,45.78525778
"210","Bulciago","Lecco",6,0,6,9.28389095,45.75086323
"211","Bulgarograsso","Como",10,10,10,9.01101248,45.74813449
"212","Burago di Molgora","Monza e della Brianza",14,14,14,9.37906933,45.59592144
"213","Buscate","Milano",10,10,10,8.81258989,45.54600142
"214","Busnago","Monza e della Brianza",36,36,36,9.46619248,45.617173
"215","Bussero","Milano",24,24,24,9.37205136,45.53791825
"216","Busto Arsizio","Varese",198,198,198,8.85494196,45.61508411
"217","Busto Garolfo","Milano",32,32,32,8.88340873,45.54605784
"218","Cabiate","Como",14,14,14,9.16670282,45.67319795
"219","Cadegliano-Viconago","Varese",5,0,5,8.84466504,45.95877781
"220","Cadorago","Como",12,0,12,9.03374726,45.7239038
"221","Caglio","Como",2,0,2,9.23631564,45.87057233
"222","Caino","Brescia",1,0,1,10.31575694,45.61251414
"223","Caiolo","Sondrio",2,0,2,9.81705673,46.15231836
"224","Cairate","Varese",20,20,20,8.87081304,45.69202754
"225","Calcinate","Bergamo",42,42,42,9.80155201,45.61977118
"226","Calcinato","Brescia",110,110,110,10.41651764,45.4574704
"227","Calcio","Bergamo",50,50,50,9.85508435,45.50766222
"228","Calco","Lecco",16,16,16,9.41788138,45.72538205
"229","Calolziocorte","Lecco",102,102,102,9.43211005,45.80179176
"230","Calusco d'Adda","Bergamo",68,68,68,9.47138472,45.68834716
"231","Calvagese della Riviera","Brescia",4,0,4,10.44602336,45.53921951
"232","Calvatone","Cremona",3,0,3,10.44206219,45.12883088
"233","Calvenzano","Bergamo",62,62,62,9.59815751,45.49463312
"234","Calvignasco","Milano",1,0,1,9.02086669,45.33179509
"235","Calvisano","Brescia",16,0,16,10.34287551,45.34907813
"236","Cambiago","Milano",18,18,18,9.42416597,45.57336649
"237","Camerata Cornello","Bergamo",1,0,1,9.65566453,45.89956035
"238","Camisano","Cremona",2,0,2,9.74619291,45.44259064
"239","Campagnola Cremasca","Cremona",0,0,0,9.66944164,45.39913388
"240","Camparada","Monza e della Brianza",5,0,5,9.32237835,45.6549953
"241","Campione d'Italia","Como",5,0,5,8.970754,45.97007944
"242","Campodolcino","Sondrio",1,0,1,9.35431096,46.40213345
"243","Campospinoso","Pavia",12,12,12,9.24669485,45.09360451
"244","Candia Lomellina","Pavia",5,0,5,8.59816452,45.17473688
"245","Canegrate","Milano",32,32,32,8.92457328,45.57254954
"246","Canneto Pavese","Pavia",2,0,2,9.28098021,45.05115779
"247","Canneto sull'Oglio","Mantova",14,0,14,10.37540525,45.15029003
"248","Canonica d'Adda","Bergamo",22,22,22,9.54175897,45.57456366
"249","Cantello","Varese",17,4,17,8.89696935,45.82105782
"250","Cantù","Como",76,76,76,9.12658065,45.73938659
"251","Canzo","Como",15,6,15,9.27350212,45.85003757
"252","Capergnanica","Cremona",18,18,18,9.64414845,45.33808233
"253","Capiago Intimiano","Como",12,0,12,9.1243087,45.7721228
"254","Capizzone","Bergamo",4,0,4,9.56852652,45.78452319
"255","Capo di Ponte","Brescia",10,10,10,10.3428017,46.02999867
"256","Caponago","Monza e della Brianza",18,18,18,9.37703299,45.56531345
"257","Capovalle","Brescia",1,0,1,10.5448427,45.75406745
"258","Cappella Cantone","Cremona",0,0,0,9.83810498,45.24652266
"259","Cappella de' Picenardi","Cremona",2,0,2,10.23012535,45.15912616
"260","Capralba","Cremona",20,20,20,9.64243814,45.44227445
"261","Capriano del Colle","Brescia",22,22,22,10.12640959,45.45516249
"262","Capriate San Gervasio","Bergamo",15,5,15,9.52730102,45.60916831
"263","Caprino Bergamasco","Bergamo",4,1,4,9.48158177,45.74646782
"264","Capriolo","Brescia",15,7,15,9.93602291,45.63979785
"265","Carate Brianza","Monza e della Brianza",39,10,39,9.23312209,45.6770523
"266","Carate Urio","Como",4,0,4,9.12239702,45.87196643
"267","Caravaggio","Bergamo",122,122,122,9.64310613,45.49713767
"268","Caravate","Varese",6,0,6,8.65547691,45.87950555
"269","Carbonara al Ticino","Pavia",6,1,6,9.05904974,45.16531723
"270","Carbonate","Como",6,0,6,8.94040214,45.68506128
"271","Cardano al Campo","Varese",25,4,25,8.77457849,45.6466131
"272","Carenno","Lecco",1,0,1,9.46166828,45.80142537
"273","Carimate","Como",6,0,6,9.11525094,45.70268568
"274","Carlazzo","Como",2,0,2,9.15649403,46.04919611
"275","Carnago","Varese",14,14,14,8.83627171,45.71828365
"276","Carnate","Monza e della Brianza",24,24,24,9.37833637,45.65106483
"277","Carobbio degli Angeli","Bergamo",22,22,22,9.82862581,45.67045623
"278","Carona","Bergamo",1,0,1,9.78549341,46.02183878
"279","Caronno Pertusella","Varese",32,32,32,9.04786804,45.59681856
"280","Caronno Varesino","Varese",18,18,18,8.83098855,45.73879258
"281","Carpenedolo","Brescia",20,3,20,10.4315258,45.36118859
"282","Carpiano","Milano",4,0,4,9.27463974,45.34164161
"283","Carugate","Milano",106,106,106,9.33843416,45.54960324
"284","Carugo","Como",10,10,10,9.18915441,45.70996915
"285","Carvico","Bergamo",42,42,42,9.47982813,45.70685592
"286","Casalbuttano ed Uniti","Cremona",132,132,132,9.96168245,45.25201488
"287","Casale Cremasco-Vidolasco","Cremona",3,0,3,9.71390281,45.43160829
"288","Casale Litta","Varese",5,1,5,8.74033681,45.76739057
"289","Casaletto Ceredano","Cremona",2,0,2,9.61679215,45.31812763
"290","Casaletto di Sopra","Cremona",1,0,1,9.78130227,45.41861722
"291","Casaletto Lodigiano","Lodi",12,12,12,9.36181333,45.29313323
"292","Casaletto Vaprio","Cremona",2,0,2,9.6290426,45.40727512
"293","Casalmaggiore","Cremona",122,122,122,10.41378078,44.98742209
"294","Casalmaiocco","Lodi",3,0,3,9.37166246,45.35304438
"295","Casalmorano","Cremona",54,54,54,9.89784097,45.28708993
"296","Casalmoro","Mantova",20,20,20,10.40798158,45.2589957
"297","Casaloldo","Mantova",14,14,14,10.48213987,45.25257166
"298","Casalpusterlengo","Lodi",114,114,114,9.65107115,45.17779667
"299","Casalromano","Mantova",2,0,2,10.36510881,45.1972989
"300","Casalzuigno","Varese",3,0,3,8.70550787,45.90326961
"301","Casanova Lonati","Pavia",0,0,0,9.21373599,45.09441598
"302","Casargo","Lecco",3,0,3,9.38827009,46.03836074
"303","Casarile","Milano",10,10,10,9.10320454,45.31759199
"304","Casatenovo","Lecco",46,46,46,9.31559457,45.69906559
